unidade;tarefa;caminho;status;quant_total;und;fonte
Sobrado 01;Acabamentos - Elétrica - Superior - Casa 01;CASA 01 > INSTALAÇÕES ELÉTRICAS > Superior;pendente;;;
Sobrado 01;Eletrodutos e chumbamento caixinhas de luz - Térreo - Casa 01;CASA 01 > INSTALAÇÕES ELÉTRICAS > Térreo;pendente;;;
Sobrado 01;Eletrodutos e chumbamento caixinhas de luz - Externo - Casa 01;CASA 01 > INSTALAÇÕES ELÉTRICAS > Térreo;pendente;;;
Sobrado 01;Fiação - Térreo - Casa 01;CASA 01 > INSTALAÇÕES ELÉTRICAS > Térreo;pendente;;;
Sobrado 01;Módulos e Quadro e disjuntores - Térreo - Casa 01;CASA 01 > INSTALAÇÕES ELÉTRICAS > Térreo;pendente;;;
Sobrado 01;Fiação - Térreo - Externo - Casa 01;CASA 01 > INSTALAÇÕES ELÉTRICAS > Térreo;pendente;;;
Sobrado 01;Acabamentos - Elétrica - Térreo - Casa 01;CASA 01 > INSTALAÇÕES ELÉTRICAS > Térreo;pendente;;;
Sobrado 01;Passagem de tubulação - Hidro-  Superior - Casa 01;CASA 01 > INSTALAÇÕES HIDRAULICAS > Pav. Superior;pendente;;;
Sobrado 01;Passagem de tubulação - Hidro-  Térreo - Casa 01;CASA 01 > INSTALAÇÕES HIDRAULICAS > Pav. Térreo;pendente;;;
Sobrado 01;Passagem de tubulação - Hidráulica - Externo - Casa 01;CASA 01 > INSTALAÇÕES HIDRAULICAS > Pav. Térreo;pendente;;;
Sobrado 01;Passagem de tubulação - Reservatório - Casa 01;CASA 01 > INSTALAÇÕES HIDRAULICAS > Pav. Cobertura;pendente;;;
Sobrado 01;Passagem de tubulação - Sanitária - Superior - Casa 01;CASA 01 > INSTALAÇÕES SANITÁRIAS E PLUVIAIS > Pav. Superior;pendente;;;
Sobrado 01;Passagem de tubulação - Sanitária - Térreo - Interno - Casa 01;CASA 01 > INSTALAÇÕES SANITÁRIAS E PLUVIAIS > Pav. Térreo;pendente;;;
Sobrado 01;Passagem de tubulação -Sanitária - Térreo - Externo - Casa 01;CASA 01 > INSTALAÇÕES SANITÁRIAS E PLUVIAIS > Pav. Térreo;pendente;;;
Sobrado 01;Caixas de passagem - Térreo - Casa 01;CASA 01 > INSTALAÇÕES SANITÁRIAS E PLUVIAIS > Pav. Térreo;pendente;;;
Sobrado 01;Passagem de tubulação - Pluvial - Casa 01;CASA 01 > INSTALAÇÕES SANITÁRIAS E PLUVIAIS > Pav. Cobertura;pendente;;;
Sobrado 01;Tubulação Pós-calha - pluvial - Casa 01;CASA 01 > INSTALAÇÕES SANITÁRIAS E PLUVIAIS > Pav. Cobertura;pendente;;;
Sobrado 01;Instalações de gás - Casa 01;CASA 01 > INSTALAÇÕES DE GÁS;aplicado;1;und;Fornecimento e instalação de ponto de gás
Sobrado 01;Instalações frigorigenas - Superior - Casa 01;CASA 01 > INSTALAÇÕES FRIGORIGENAS > Superior;pendente;;;
Sobrado 01;Instalações frigorigenas - Térreo - Casa 01;CASA 01 > INSTALAÇÕES FRIGORIGENAS > Térreo;pendente;;;
Sobrado 01;Impermeabilização de áreas molhadas - Internas - Superior - Casa 01;CASA 01 > IMPERMEABILIZAÇÃO > Superior;pendente;;;
Sobrado 01;Impermeabilização de áreas molhadas - Internas - Térreo - Casa 01;CASA 01 > IMPERMEABILIZAÇÃO > Térreo;pendente;;;
Sobrado 01;Montagem estrutura metálica - Casa 01;CASA 01 > COBERTURA;aplicado;89,74;m²;Fornecimento de estrutura para telhado
Sobrado 01;Calha - Casa 01;CASA 01 > COBERTURA;aplicado;23,92;m;Fornecimento e instalação de calha ( Zinco )
Sobrado 01;Telhamento - Casa 01;CASA 01 > COBERTURA;aplicado;89,74;m²;Mão de obra para execução de cobertura e telhamento
Sobrado 01;Rufo - Casa 01;CASA 01 > COBERTURA;aplicado;57,33;m;Fornecimento e instalação de rufos
Sobrado 01;Pingadeiras - Casa 01;CASA 01 > COBERTURA;aplicado;60,54;m;Fornecimento e instalação de pingadeira de concreto
Sobrado 01;Porcelanato de parede e piso - Áreas molhadas - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;aplicado;56,5;m²;Fornecimento e instalação de porcelanato de parede
Sobrado 01;Forro de gesso - Interno - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;aplicado;54,75;m²;Forro de gesso acartonado tabicado - fornecimento e instalação
Sobrado 01;Emassamento, lixamento e 1ª demão - Interno - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;aplicado;134,1;m²;Aplicação manual de pintura em parede com tinta branco neve toque de seda suvinil e massa PVA
Sobrado 01;Peitoris - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;aplicado;9,07;m;Instalação de soleiras e peitoris
Sobrado 01;Porcelanato de piso + rodapé - Interno - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;aplicado;53,41;m²;Fornecimento e instalação de porcelanato de piso interno
Sobrado 01;Soleiras - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;aplicado;4,8;m;Instalação de soleiras e peitoris
Sobrado 01;Bancadas - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;aplicado;3,15;m;Instalação de bancadas
Sobrado 01;Esquadrias de alumínio - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;aplicado;1;VB;Fornecimento e instalação de esquadrias de aluminio e vidro temperado
Sobrado 01;Portas - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;aplicado;6;UN;Fornecimento e instalação de porta de pvc kit pronto tamanho 80 cm abrir (incluso dobradiças, fechadura)
Sobrado 01;Luminárias internas - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;pendente;;;
Sobrado 01;Louças e Metais - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;pendente;;;
Sobrado 01;Pintura final  (retoques) - Superior - Casa 01;CASA 01 > ACABAMENTOS > SUPERIOR;aplicado;134,1;m²;Aplicação manual de pintura em parede com tinta branco neve toque de seda suvinil e massa PVA
Sobrado 01;Porcelanato de parede e piso - Áreas molhadas - Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;pendente;;;
Sobrado 01;Forro de gesso - Interno - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;aplicado;78,81;m²;Forro de gesso acartonado tabicado - fornecimento e instalação
Sobrado 01;Porcelanato de parede-  cozinha - Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;pendente;;;
Sobrado 01;Porcelanato de piso + rodapé - Interno - Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;aplicado;43,05;m²;Fornecimento e instalação de porcelanato de piso interno
